Image,CD20p_S,CD3pCD8nPD1n_S,CD3pCD8nPD1p_S,CD3pCD8pPD1n_S,CD3pCD8pPD1p_S,CD68pPDL1n_S,CD68pPDL1p_S,CD79ApCD20n_S,CKpPDL1p_S,Negative_S,PD1p_S,CD20p_E,CD3pCD8nPD1n_E,CD3pCD8nPD1p_E,CD3pCD8pPD1n_E,CD3pCD8pPD1p_E,CD68pPDL1n_E,CD68pPDL1p_E,CD79ApCD20n_E,CKpPDL1p_E,Negative_E,PD1p_E,area_stroma,area_epi,SEC_ROW_COL,ID
"CIHR DOD WU3IROC_Core[2,2,9]_[8169,38408]_component_data.tif - resolution #1",0,7,8,6,4,18,21,1,3,406,3,0,4,2,2,4,26,41,0,38,1550,1,0.07775660000000001,0.1687721,"2,2,9",058(om)
"CIHR DOD WU3IROC_Core[2,3,1]_[7214,28695]_component_data.tif - resolution #1",0,17,10,1,0,72,0,0,0,1714,4,0,1,0,0,1,22,0,0,0,885,0,0.2162376,0.1131475,"2,3,1",064(ov)
"CIHR DOD WU3IROC_Core[2,3,2]_[7262,30032]_component_data.tif - resolution #1",0,39,12,4,0,157,2,0,0,951,5,0,10,2,1,0,56,0,0,0,1728,3,0.1384791,0.2473197,"2,3,2",064(ov)
"CIHR DOD WU3IROC_Core[2,3,3]_[7238,31225]_component_data.tif - resolution #1",0,19,4,13,5,101,0,37,0,1116,2,0,4,1,0,1,44,0,1,0,1341,0,0.1810226,0.1380124,"2,3,3",065(om)
"CIHR DOD WU3IROC_Core[2,3,4]_[7214,32299]_component_data.tif - resolution #1",0,16,8,12,5,180,0,12,0,1642,2,0,1,0,0,1,20,0,0,0,645,0,0.2513573,0.0570722,"2,3,4",065(om)
"CIHR DOD WU3IROC_Core[2,3,5]_[7047,33635]_component_data.tif - resolution #1",0,12,8,1,0,93,0,1,0,899,2,0,0,1,0,0,19,0,0,0,698,4,0.16108170000000002,0.0766035,"2,3,5",067(ov)
"CIHR DOD WU3IROC_Core[2,3,6]_[7071,34852]_component_data.tif - resolution #1",5,7,5,0,1,69,1,13,0,879,3,0,1,2,0,0,25,0,2,0,1138,2,0.20890910000000001,0.1114021,"2,3,6",067(ov)
"CIHR DOD WU3IROC_Core[2,3,7]_[7023,36022]_component_data.tif - resolution #1",0,10,13,1,2,46,15,7,0,1041,6,0,0,2,1,0,27,1,0,1,1466,1,0.2207977,0.1790649,"2,3,7",069(om)
"CIHR DOD WU3IROC_Core[2,3,8]_[7023,37191]_component_data.tif - resolution #1",1,25,20,10,2,17,3,1,0,943,8,0,4,8,2,7,33,8,2,0,2284,5,0.1333416,0.2571478,"2,3,8",069(om)
"CIHR DOD WU3IROC_Core[2,3,9]_[6952,38432]_component_data.tif - resolution #1",2,30,13,21,4,199,1,1,0,833,14,0,8,0,1,3,28,1,0,0,1047,1,0.18186629999999998,0.091401,"2,3,9",070(om)
"CIHR DOD WU3IROC_Core[2,4,10]_[5711,39554]_component_data.tif - resolution #1",31,50,53,23,7,48,11,73,3,938,16,0,1,2,0,1,6,7,2,0,317,0,0.1962057,0.0375722,"2,4,10",072(ov)
"CIHR DOD WU3IROC_Core[2,4,3]_[6021,31225]_component_data.tif - resolution #1",7,45,16,8,4,49,12,18,0,837,3,0,9,8,0,0,41,4,0,1,1743,0,0.1560666,0.2443652,"2,4,3",078(ov)
"CIHR DOD WU3IROC_Core[2,4,4]_[5950,32394]_component_data.tif - resolution #1",0,21,14,3,0,61,0,2,0,1234,2,0,2,3,0,0,18,1,0,0,698,1,0.279817,0.1170251,"2,4,4",078(ov)
"CIHR DOD WU3IROC_Core[2,4,5]_[5854,33587]_component_data.tif - resolution #1",0,6,13,8,1,287,2,0,0,1219,7,0,0,0,0,1,26,0,0,0,299,0,0.3060446,0.0326189,"2,4,5",073(ov)
"CIHR DOD WU3IROC_Core[2,4,8]_[5783,37167]_component_data.tif - resolution #1",136,44,17,50,15,101,1,1,1,972,20,1,0,1,0,0,6,0,0,0,555,0,0.1957509,0.0410644,"2,4,8",073(om)
"CIHR DOD WU3IROC_Core[2,4,9]_[5735,38289]_component_data.tif - resolution #1",0,1,1,0,0,64,22,4,0,237,3,0,0,1,0,0,60,14,1,0,2058,3,0.0738194,0.2443891,"2,4,9",072(ov)
"CIHR DOD WU3IROC_Core[2,5,10]_[4542,39530]_component_data.tif - resolution #1",0,61,26,43,5,122,107,5,12,1140,21,0,4,2,0,0,11,2,0,4,997,2,0.204532,0.1525299,"2,5,10",093(om)
"CIHR DOD WU3IROC_Core[2,5,3]_[4804,31296]_component_data.tif - resolution #1",0,16,7,1,1,42,16,0,0,373,15,0,8,7,3,7,52,0,0,0,927,9,0.059470800000000004,0.10359239999999999,"2,5,3",087(ov)
"CIHR DOD WU3IROC_Core[2,5,4]_[4709,32466]_component_data.tif - resolution #1",0,2,0,0,0,15,0,0,0,197,1,0,8,6,0,0,65,0,0,0,1203,8,0.0510784,0.1541051,"2,5,4",087(ov)
"CIHR DOD WU3IROC_Core[2,5,9]_[4542,38384]_component_data.tif - resolution #1",1,67,30,23,2,182,125,39,15,2073,20,0,1,2,1,0,3,5,1,3,221,2,0.3301415,0.027981799999999998,"2,5,9",093(om)
"CIHR DOD WU3IROC_Core[3,1,1]_[20395,42580]_component_data.tif - resolution #1",4,4,2,1,2,11,1,1,0,299,8,4,15,6,9,28,78,2,1,0,3031,23,0.0415192,0.2581365,"3,1,1",093(ov)
"CIHR DOD WU3IROC_Core[3,1,2]_[20169,43645]_component_data.tif - resolution #1",0,0,0,0,0,4,0,0,0,195,0,0,7,2,1,6,65,0,0,0,2269,3,0.0313747,0.2156681,"3,1,2",093(ov)
"CIHR DOD WU3IROC_Core[3,1,4]_[19987,46710]_component_data.tif - resolution #1",3,3,0,6,0,136,0,2,0,667,1,0,4,1,6,3,76,3,0,2,2424,8,0.1284374,0.24652870000000002,"3,1,4",095(ov)
